ObjectsNames,ObjectsID,IdentifiedObject.name,DiscreteValue.Discrete,MeasurementValue.MeasurementValueSource,IdentifiedObject.aliasName,Switch.normalOpen,Equipment.EquipmentContainer,Measurement.measurementType,Measurement.PowerSystemResource,Terminal.sequenceNumber,Terminal.ConductingEquipment,Terminal.ConnectivityNode,ConnectivityNode.ConnectivityNodeContainer,AuxiliaryEquipment.Terminal,PowerSystemResource.AssetDatasheet,ConductingEquipment.BaseVoltage,Terminal.phases,VoltageLevel.BaseVoltage,VoltageLevel.Substation
ConnectivityNode,_6e016ba2397f4f2b8068459582565d4a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_335c9aaa12c547a7a8f3dc7803e67cb0,NA,NA,NA,NA,NA,NA
Terminal,_465601eb5c174bc484399a5d8352e2dd,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_73dd91a5899a41fba49788dfa0df5b97,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_9fa987b3c2aa41a1b59c8f0b5ee3f0a9,Bezpiecznik,NA,NA,Bezpiecznik,false,#_4bd2280ee01040b19b304667730097ff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_26badde4f8e947fda39d2e0af4a9bdec,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_9fa987b3c2aa41a1b59c8f0b5ee3f0a9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_377934642c5f4f5a90e348174948087d,T1,NA,NA,NA,NA,NA,NA,NA,1,#_9fa987b3c2aa41a1b59c8f0b5ee3f0a9,#_6690c3cf319c4c7c84e18ba1292f1c42,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_6690c3cf319c4c7c84e18ba1292f1c42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_335c9aaa12c547a7a8f3dc7803e67cb0,NA,NA,NA,NA,NA,NA
Terminal,_999fd189ea6d4b42bc4b8e8f15128028,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_9fa987b3c2aa41a1b59c8f0b5ee3f0a9,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_5b5553e55fae40329d7104e0dfdfc40d,Bezpiecznik,NA,NA,Bezpiecznik,false,#_c1bae6316db3476c9ce2e425b971b0bf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_87df1cd2e2054c229b9fdb4bf409a889,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_5b5553e55fae40329d7104e0dfdfc40d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_027a2a6b2f9e4643b803f6ebe2682be1,T1,NA,NA,NA,NA,NA,NA,NA,1,#_5b5553e55fae40329d7104e0dfdfc40d,#_10ad5fd43b5349c8baba00e35a6b16fa,NA,NA,NA,NA,NA,NA,NA
